PLAYER,AGENTS,RND,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
"Vania
G2.G","harbor, omen, gekko",258,1.48,249.5,1.84,83%,156.8,0.91,0.44,0.06,0.04,42%,31%,5/16,25,234,127,114,15,9
"Lied
FSX","iso, raze, jett",291,1.40,285.9,1.56,73%,186.0,1.05,0.24,0.22,0.15,29%,15%,4/26,30,307,197,71,65,45
"Miku
NCL.GC","neon, raze, jett",232,1.35,303.5,1.49,75%,182.5,1.04,0.26,0.31,0.20,19%,45%,5/11,32,241,162,61,71,47
"tok1o
LEV.GC","neon, jett, sova",315,1.33,274.1,1.46,76%,179.2,0.97,0.25,0.15,0.13,25%,31%,10/32,28,306,210,78,46,40
"conir
KRÜ.B","omen, clove, brimstone",251,1.32,233.3,1.48,86%,149.1,0.88,0.45,0.09,0.05,27%,22%,5/23,24,220,149,114,23,13
"Derke
FNC","raze, yoru",211,1.30,275.6,1.42,76%,180.6,0.99,0.18,0.19,0.15,25%,33%,6/18,30,208,146,39,40,31
"Chronicle
FNC","sova, viper",211,1.29,236.1,1.31,75%,162.9,0.82,0.30,0.13,0.06,28%,12%,3/26,25,172,131,64,27,13
"Zanatsu
RED","killjoy, raze, jett",237,1.29,288.7,1.44,76%,183.9,1.04,0.16,0.24,0.16,34%,8%,1/12,36,247,171,37,56,39
"Liz
NTH","sova, omen, skye",259,1.27,250.3,1.33,75%,174.4,0.86,0.29,0.14,0.06,36%,13%,4/32,33,224,168,74,35,15
"Asomy
NCL.GC","omen, gekko",232,1.27,234.1,1.38,77%,144.2,0.85,0.45,0.06,0.04,27%,14%,4/28,28,198,144,105,14,10
"Persia
SPG","brimstone, viper, clove",282,1.26,226.3,1.30,77%,151.3,0.79,0.46,0.09,0.10,35%,26%,9/35,23,223,171,129,25,28
"nabil
RESO","kayo, sova, viper",259,1.26,241.8,1.26,80%,158.8,0.85,0.43,0.10,0.08,24%,11%,4/38,28,220,174,112,25,21
Needy,"jett, neon, raze",265,1.24,264.0,1.34,75%,172.7,0.93,0.13,0.15,0.17,33%,16%,4/25,28,246,184,34,40,44
"kaajak
APK","raze, jett, yoru",428,1.24,274.2,1.36,69%,175.1,0.98,0.17,0.25,0.19,40%,5%,1/21,33,419,308,71,109,80
"karie
SNG","cypher, sova, deadlock",312,1.24,254.6,1.39,76%,167.3,0.93,0.22,0.07,0.08,35%,15%,7/46,31,291,210,70,21,24
"Lar0k
PCF","breach, gekko, kayo",454,1.24,216.4,1.27,75%,141.6,0.79,0.38,0.09,0.07,34%,22%,12/55,25,357,281,173,41,34
"mmonch
AKV.GC","cypher, killjoy, viper",231,1.23,225.2,1.45,77%,143.4,0.85,0.19,0.13,0.04,34%,17%,5/29,24,196,135,43,29,9
"UR
ZETA.GC","sova, brimstone, fade",217,1.23,233.4,1.18,71%,157.2,0.80,0.38,0.11,0.06,27%,15%,4/27,29,174,148,83,23,13
"Spaz
BLIN","harbor, omen, viper",508,1.22,215.0,1.21,78%,133.9,0.75,0.51,0.08,0.06,21%,30%,21/69,23,383,317,257,42,32
"antG
LOUD.GC","deadlock, kayo, skye",227,1.21,228.1,1.21,77%,144.4,0.83,0.42,0.07,0.08,30%,,0/25,33,188,155,96,16,19
"VYX
FCN","viper, killjoy, omen",235,1.21,212.9,1.30,78%,140.9,0.79,0.39,0.04,0.07,26%,18%,7/38,23,186,143,92,9,16
"v1c
MxS","viper, omen, brimstone",264,1.21,222.5,1.28,75%,147.4,0.78,0.41,0.06,0.06,23%,14%,6/43,23,205,160,109,17,16
"dods
KRÜ.B","jett, raze, iso",251,1.20,260.9,1.38,74%,172.0,1.02,0.15,0.24,0.16,34%,18%,2/11,35,255,185,38,59,40
"zekken
SEN","raze, jett, neon",435,1.19,262.9,1.27,73%,165.4,0.94,0.26,0.19,0.16,24%,30%,7/23,28,408,322,111,84,69
"Kon
SISU","sova, viper, vyse",240,1.19,236.2,1.19,75%,163.4,0.84,0.21,0.08,0.08,38%,9%,4/44,29,202,170,51,20,19
"Paincakes
FAIM","sova, deadlock, skye",382,1.19,226.7,1.25,78%,146.7,0.81,0.36,0.09,0.08,32%,28%,8/29,26,311,249,138,36,30
"JuW
AKV.GC","jett, raze, yoru",231,1.18,243.0,1.32,75%,153.8,0.88,0.20,0.20,0.11,28%,20%,2/10,23,204,154,47,47,25
"ComeBack
PCF","neon, jett, raze",454,1.17,267.1,1.34,72%,173.2,0.95,0.15,0.20,0.16,28%,7%,2/30,28,431,322,70,91,74
"welyy
Blue","sova, fade, skye",818,1.17,205.0,1.22,76%,139.6,0.70,0.36,0.08,0.04,30%,17%,23/132,25,573,471,297,62,36
"CHICHOO
EDG","killjoy, cypher, viper",404,1.17,219.2,1.24,75%,142.2,0.79,0.26,0.11,0.05,30%,15%,8/54,27,318,256,106,44,22
"bstrdd
TL","jett, iso, raze",326,1.17,249.8,1.25,72%,160.8,0.86,0.21,0.23,0.15,28%,19%,3/16,28,281,225,68,74,48
"Filu
DSY","iso, jett, raze",206,1.16,247.9,1.19,74%,157.2,0.88,0.16,0.23,0.17,35%,21%,4/19,26,182,153,33,48,34
"rezq
G2.G","yoru, raze, neon",258,1.16,281.3,1.39,74%,172.6,0.99,0.20,0.29,0.17,23%,13%,1/8,31,255,183,51,71,40
"Reduxx
OXG","jett, raze, omen",204,1.16,238.2,1.20,75%,156.6,0.83,0.28,0.20,0.17,30%,5%,1/20,28,169,141,57,41,34
hunterr,"fade, sova",206,1.16,220.2,1.16,73%,145.4,0.76,0.31,0.09,0.04,32%,23%,7/31,21,156,135,63,19,9
"fluxxy
HERO","omen, viper, astra",333,1.16,213.3,1.17,77%,139.6,0.77,0.33,0.07,0.05,31%,20%,13/64,29,258,220,109,24,17
"Bizerra
TL","killjoy, cypher, viper",326,1.15,221.1,1.19,74%,146.8,0.79,0.37,0.10,0.09,26%,14%,6/42,26,259,218,122,32,28
"Kyu
AMB","viper, breach, sova",244,1.15,223.3,1.20,76%,145.6,0.76,0.36,0.08,0.05,24%,11%,3/28,22,185,154,87,20,13
basic,"kayo, breach, omen",237,1.15,190.5,1.20,78%,126.7,0.70,0.42,0.05,0.05,34%,12%,3/26,19,166,138,99,11,12
"Ivy
SPG","deadlock, sova, fade",282,1.15,218.6,1.22,80%,141.9,0.77,0.33,0.06,0.06,33%,16%,6/37,27,216,177,92,16,16
"Dantedeu5
AK","neon, iso, jett",448,1.15,254.4,1.15,74%,161.3,0.87,0.25,0.18,0.15,29%,18%,5/28,31,391,339,112,80,67
"dodonut
FLY.R","phoenix, sage, raze",257,1.15,224.0,1.17,76%,149.7,0.77,0.29,0.12,0.12,25%,26%,8/31,26,197,169,74,30,32
"mimi
G2.G","killjoy, deadlock, gekko",258,1.15,189.3,1.33,80%,125.8,0.69,0.27,0.05,0.06,33%,10%,4/39,21,177,133,69,13,15
"LauGuz
MVR","raze, jett, phoenix",285,1.14,225.9,1.17,75%,155.8,0.84,0.18,0.14,0.10,31%,15%,4/27,24,239,204,52,39,29
"PROFEK
GN","omen, astra, viper",201,1.14,204.3,1.12,74%,137.3,0.73,0.34,0.09,0.06,27%,10%,3/29,19,146,130,69,19,12
"Pa1nt
Blue","neon, jett, raze",579,1.14,259.4,1.23,72%,165.0,0.93,0.18,0.25,0.18,29%,7%,1/15,33,540,440,105,146,106
"Kess
UT","sova, fade",330,1.13,224.9,1.08,72%,146.2,0.76,0.34,0.08,0.06,23%,9%,5/53,23,251,233,113,27,19
"Kaoticcc
SaD","jett, raze, reyna",704,1.13,265.8,1.21,71%,167.4,0.93,0.18,0.23,0.17,24%,16%,7/43,31,652,539,124,162,121
gui,"yoru, sova, skye",234,1.13,221.9,1.17,74%,146.6,0.78,0.23,0.09,0.07,31%,17%,5/29,28,182,155,54,22,16
"lucks
pug","sage, cypher, killjoy",259,1.13,204.0,1.19,71%,138.1,0.79,0.19,0.07,0.06,40%,16%,6/37,27,204,172,49,18,16
"silentzz
2G","raze, cypher, jett",466,1.13,239.0,1.20,73%,154.8,0.86,0.16,0.17,0.11,32%,6%,3/48,28,400,334,76,77,53
"TenZ
SEN","gekko, omen, kayo",320,1.13,217.5,1.12,75%,141.8,0.77,0.45,0.07,0.08,25%,7%,2/29,29,246,219,144,22,26
"misu
RF.GC","viper, sova",229,1.12,196.1,1.14,74%,133.8,0.70,0.30,0.06,0.04,24%,13%,5/38,25,160,140,69,14,10
"exa
T1A","cypher, raze, neon",324,1.12,218.1,1.14,72%,148.8,0.80,0.25,0.09,0.09,28%,21%,8/38,28,260,228,80,28,28
"Cactus
TLP","neon, raze, cypher",261,1.12,239.9,1.14,70%,159.0,0.85,0.21,0.12,0.13,28%,26%,11/43,28,223,195,54,32,34
"Joliinaa
GX.GC","omen, astra, viper",410,1.12,213.4,1.17,79%,136.3,0.75,0.44,0.10,0.06,26%,13%,5/40,24,307,262,180,39,25
"aspas
LEV","raze, neon, jett",362,1.12,217.6,1.18,74%,144.9,0.80,0.16,0.14,0.11,28%,18%,7/40,29,289,245,58,50,39
roxthi,"deadlock, sova, killjoy",222,1.12,208.2,1.08,68%,144.0,0.74,0.20,0.10,0.07,28%,30%,13/43,23,164,152,44,22,15
"ZmjjKK
EDG","jett, neon, raze",404,1.12,255.4,1.22,69%,164.0,0.89,0.20,0.24,0.19,24%,15%,3/20,28,361,297,82,98,76
"Sushiboys
FS","cypher, killjoy, brimstone",246,1.11,228.2,1.16,73%,154.1,0.81,0.22,0.10,0.07,23%,17%,6/35,27,199,172,53,24,17
"micaela
KRÜ.B","kayo, fade, breach",251,1.11,175.1,1.25,79%,115.2,0.69,0.43,0.06,0.08,35%,28%,5/18,21,172,138,107,15,19
"DaviH
CGN","sova, fade",415,1.11,192.3,1.10,69%,134.5,0.66,0.27,0.06,0.05,22%,20%,13/66,24,273,248,111,24,22
"GuterWoman
SKC.Q","cypher, killjoy",218,1.11,220.9,1.11,67%,149.3,0.81,0.13,0.08,0.10,33%,17%,7/41,24,176,158,28,17,22
"Papi
NBG","cypher, breach, gekko",279,1.11,221.1,1.08,73%,149.2,0.78,0.46,0.09,0.08,23%,56%,9/16,34,218,202,127,25,21
"aNguiSt
CGN","deadlock, killjoy, cypher",415,1.11,217.9,1.18,70%,145.0,0.80,0.13,0.11,0.08,33%,10%,5/49,23,334,284,55,44,32
"koalanoob
M80","yoru, omen, jett",586,1.10,233.9,1.16,71%,151.5,0.82,0.26,0.20,0.15,23%,19%,9/48,28,482,415,152,118,85
"cidZzZ
LGCY","fade, gekko, sova",237,1.10,175.7,1.15,78%,121.0,0.60,0.39,0.03,0.05,21%,10%,3/30,17,142,124,92,7,12
"Minny
GN","killjoy, cypher, gekko",201,1.10,208.3,1.12,70%,136.1,0.74,0.22,0.07,0.08,31%,15%,5/34,24,149,133,44,15,16
"ScrewFace
AMB","sova, breach, jett",219,1.10,216.1,1.03,68%,144.1,0.74,0.28,0.17,0.08,19%,6%,2/32,23,161,156,62,37,18
"Ivy
AKV.GC","kayo, gekko, breach",231,1.10,194.6,1.07,78%,132.6,0.71,0.33,0.09,0.10,37%,12%,3/26,24,163,152,76,21,22
"LizA
VLNT","neon, jett, raze",323,1.10,256.5,1.15,71%,163.3,0.90,0.19,0.24,0.23,28%,10%,2/20,26,290,252,61,76,73
"xuss
MOUZ","jett, raze, yoru",228,1.10,236.3,1.18,73%,154.3,0.86,0.14,0.23,0.15,27%,16%,4/25,37,196,166,32,52,35
"penny
G2","raze, jett, neon",227,1.10,239.2,1.18,69%,158.6,0.84,0.17,0.18,0.12,20%,23%,5/22,25,190,161,38,41,28
"robot
WU","astra, clove, brimstone",438,1.10,228.0,1.05,72%,154.6,0.79,0.32,0.13,0.13,26%,14%,9/66,39,346,329,138,55,58
"sarah
GX.GC","breach, kayo, viper",410,1.10,211.1,1.14,77%,132.6,0.75,0.42,0.07,0.06,29%,21%,9/43,28,306,268,173,30,23
"Shondex
Blue","cypher, killjoy, viper",679,1.10,202.1,1.20,74%,137.4,0.75,0.20,0.07,0.07,33%,10%,9/86,27,506,423,135,49,46
"RieNs
TH","viper, sova, gekko",405,1.10,211.9,1.11,75%,144.0,0.74,0.31,0.09,0.10,39%,21%,10/48,26,301,270,124,36,42
"Smoggy
EDG","viper, omen, brimstone",404,1.10,206.3,1.15,75%,129.1,0.73,0.38,0.07,0.06,28%,12%,6/52,22,294,256,152,27,23
"Dambi
SPG","neon, jett",282,1.09,251.0,1.13,75%,153.6,0.83,0.29,0.21,0.18,21%,17%,2/12,26,235,208,82,60,50
"BerserX
BME","cypher, killjoy",406,1.09,202.4,1.12,72%,139.5,0.71,0.22,0.08,0.07,26%,6%,3/54,28,290,258,89,33,28
LKashi,"cypher, killjoy, kayo",234,1.09,205.6,1.08,71%,131.9,0.73,0.30,0.06,0.05,26%,15%,5/33,24,170,158,71,13,12
"jowa
ENVE","sova, fade, kayo",492,1.09,203.5,1.06,76%,135.6,0.70,0.39,0.06,0.07,30%,9%,5/58,26,342,323,190,31,32
"biazik
KRÜ.B","sova, viper, gekko",251,1.09,188.0,1.10,78%,132.3,0.68,0.38,0.11,0.06,25%,25%,5/20,20,170,155,96,27,15
"adverso
AK","breach, sova, deadlock",448,1.09,201.6,1.06,73%,133.7,0.70,0.36,0.06,0.09,29%,19%,10/53,28,312,295,163,29,40
"gMd
TSM","brimstone, omen, astra",422,1.09,211.2,1.04,76%,137.6,0.74,0.41,0.08,0.06,29%,13%,8/63,28,311,300,173,34,25
"Lyda
HERO","viper, clove, sova",333,1.09,211.9,1.10,74%,140.6,0.76,0.26,0.12,0.08,33%,22%,7/32,29,252,230,87,41,27
"Okeanos
BLIN","jett, neon, yoru",267,1.09,242.8,1.15,72%,158.0,0.87,0.22,0.19,0.21,28%,16%,3/19,25,233,202,59,51,55
"Fair
SCC","reyna, clove, jett",287,1.09,245.5,1.17,70%,154.4,0.87,0.12,0.22,0.19,30%,8%,1/12,32,250,214,35,63,54
"sonder
FLY.R","fade, gekko, clove",257,1.09,227.1,1.15,74%,143.0,0.81,0.34,0.14,0.13,25%,23%,3/13,23,208,181,87,36,34
"melya
Elat","omen, sova, clove",384,1.09,209.7,1.05,71%,139.1,0.74,0.39,0.05,0.05,31%,10%,6/59,28,285,271,150,21,21
"Barrett
YDZ","breach, gekko, skye",231,1.09,212.8,1.04,73%,137.4,0.74,0.32,0.07,0.06,25%,19%,6/31,19,170,164,74,16,14
"StarBound
FLY.R","killjoy, deadlock, cypher",257,1.09,211.0,1.18,73%,137.0,0.75,0.21,0.12,0.07,20%,11%,4/38,18,194,165,55,30,19
"RetrQ
Burg","yoru, raze, cypher",276,1.09,219.4,1.08,73%,139.5,0.75,0.38,0.10,0.08,25%,16%,6/37,19,206,191,105,27,21
"desire
SGZ","fade, sova, skye",400,1.08,220.6,1.16,73%,144.2,0.77,0.24,0.11,0.11,39%,22%,9/41,23,306,263,97,42,43
"lukxo
GLRS","viper, omen, cypher",380,1.08,223.1,1.13,70%,145.6,0.79,0.26,0.13,0.10,32%,18%,8/45,32,301,267,99,50,38
"mikeE
BLIN","cypher, reyna, killjoy",445,1.08,222.0,1.08,71%,146.3,0.79,0.23,0.13,0.11,33%,18%,10/55,27,351,325,104,57,51
"Famouz
BME","raze, jett, clove",406,1.08,235.7,1.10,74%,149.5,0.80,0.22,0.19,0.13,16%,24%,8/33,26,326,297,89,76,51
"Joojina
TL","omen, brimstone",326,1.08,196.9,1.04,79%,127.7,0.68,0.44,0.09,0.07,26%,12%,3/26,20,222,213,144,30,23
"Loita
PCF","omen, viper",454,1.08,211.3,1.07,75%,140.2,0.72,0.43,0.10,0.11,41%,13%,6/48,25,328,307,194,45,48
"ness
GX.GC","sova, gekko, breach",410,1.08,190.8,1.06,75%,134.1,0.65,0.35,0.06,0.04,25%,16%,11/69,27,267,251,145,24,18
"wippie
C9","cypher, killjoy, omen",261,1.08,172.7,1.09,76%,117.8,0.62,0.40,0.05,0.05,25%,16%,7/45,21,162,149,105,14,14
"waved
LOUD.GC","raze, jett, neon",227,1.08,255.1,1.13,70%,166.7,0.86,0.19,0.24,0.15,25%,23%,3/13,26,195,172,43,54,33
"furbsa
SAD","iso, cypher, killjoy",290,1.08,221.0,1.12,71%,139.6,0.78,0.20,0.13,0.11,35%,20%,8/40,21,227,202,59,38,31
"MAGiK
JL","killjoy, brimstone, omen",218,1.07,230.0,1.11,72%,151.3,0.81,0.29,0.09,0.07,23%,13%,4/30,22,176,158,64,19,15
"m4ndzin
LOUD.GC","brimstone, omen, viper",227,1.07,199.0,0.99,74%,133.7,0.67,0.52,0.07,0.04,22%,16%,5/31,23,151,153,118,17,8
"MOLSI
APK","kayo, breach, sova",428,1.07,194.7,1.04,75%,130.8,0.66,0.46,0.07,0.04,26%,17%,10/59,23,283,273,197,28,17
"spike
2G","gekko, neon, kayo",466,1.07,233.3,1.05,76%,144.9,0.77,0.42,0.15,0.15,27%,9%,2/22,25,357,339,196,70,68
"tokameite
NSR.I","sova, skye, kayo",362,1.07,180.8,1.02,75%,123.5,0.66,0.41,0.03,0.05,30%,10%,5/51,27,238,233,150,10,19
"Francis
SPG","fade, harbor, breach",282,1.07,191.9,1.15,73%,127.0,0.73,0.39,0.06,0.07,28%,7%,2/28,32,205,178,111,18,20
"none
9ZG.GC","jett, neon, raze",297,1.07,238.2,1.04,67%,164.1,0.80,0.21,0.18,0.20,23%,10%,2/20,29,238,228,61,53,59
"mandy
TBS","kayo, skye, yoru",225,1.07,227.7,0.99,66%,149.5,0.79,0.37,0.13,0.16,34%,21%,4/19,26,178,179,84,30,35
"Miyori
GX.GC","cypher, killjoy, chamber",410,1.07,223.0,1.14,71%,143.1,0.79,0.18,0.14,0.11,26%,27%,12/45,24,325,284,75,56,45
"Cebando
AK","omen, viper, brimstone",448,1.07,199.9,1.01,73%,127.2,0.69,0.43,0.10,0.08,32%,16%,7/43,24,307,305,193,46,35
"zander
M80","omen, viper, brimstone",586,1.07,209.6,1.08,75%,133.1,0.75,0.37,0.10,0.10,28%,20%,12/61,31,437,404,216,56,59
Jackk,"skye, sova, fade",390,1.07,195.1,1.01,72%,130.6,0.69,0.37,0.06,0.08,33%,9%,4/47,23,270,268,145,24,30
"Jerrwin
LS","iso, neon, raze",467,1.06,247.6,1.06,70%,161.0,0.84,0.24,0.21,0.17,23%,26%,8/31,37,391,370,110,98,81
"Chloe
FIRE","sova, fade, breach",238,1.06,207.1,1.08,75%,133.2,0.79,0.29,0.11,0.11,27%,10%,2/21,25,188,174,69,25,26
"jakee
YFP","omen, viper, astra",695,1.06,212.7,1.08,73%,136.9,0.77,0.36,0.10,0.09,30%,20%,13/65,27,536,498,252,69,65
"NcSlasher
BME","gekko, fade, kayo",406,1.06,208.8,1.13,78%,128.0,0.76,0.32,0.10,0.08,24%,11%,3/27,29,310,275,128,39,34
"kamyk
JL","breach, reyna, gekko",218,1.06,202.9,1.03,70%,141.0,0.74,0.30,0.10,0.10,35%,21%,7/33,23,162,158,65,22,21
isaac9,"clove, omen, iso",222,1.06,228.2,1.06,73%,146.7,0.82,0.31,0.09,0.11,31%,5%,1/21,27,182,171,69,21,25
"Governor
TLN","raze, deadlock, jett",240,1.06,240.0,1.19,73%,148.7,0.83,0.18,0.20,0.15,22%,8%,1/13,27,198,166,44,47,37
"eva
FLCV","sova, gekko, skye",315,1.06,189.1,1.09,75%,123.2,0.69,0.23,0.05,0.03,25%,13%,7/55,25,218,200,72,15,11
"MiniBoo
TH","raze, jett, neon",405,1.06,217.9,1.07,72%,141.6,0.77,0.17,0.16,0.14,30%,20%,3/15,24,313,292,69,64,58
"curry
SEN","breach, omen, viper",471,1.06,205.8,1.11,74%,133.9,0.73,0.32,0.08,0.09,36%,15%,7/46,26,345,311,151,36,42
Moco,"omen, astra, viper",217,1.06,199.5,0.99,74%,128.4,0.68,0.40,0.04,0.09,21%,6%,2/32,23,148,149,86,9,19
"Wildfire
MU","breach, kayo, skye",303,1.06,188.7,1.02,72%,126.3,0.69,0.37,0.06,0.06,36%,9%,4/46,32,210,205,111,19,17
"Zap
2G","skye, breach, sova",466,1.06,188.2,1.01,75%,127.8,0.66,0.37,0.05,0.06,29%,14%,10/70,23,307,305,174,25,26
"Kaah
TLV","omen, brimstone",208,1.06,206.3,1.01,74%,132.0,0.76,0.30,0.07,0.11,33%,27%,7/26,20,159,158,62,14,23
"Teague
TACO","skye, breach, deadlock",342,1.05,202.5,1.04,71%,127.2,0.72,0.39,0.07,0.08,27%,20%,8/40,22,246,236,132,23,26
"Saiz
BAR","cypher, killjoy, viper",277,1.05,194.5,1.06,66%,130.3,0.72,0.14,0.10,0.08,40%,11%,4/38,24,199,187,40,28,23
"Fighter
TU","raze, jett, neon",252,1.05,224.1,1.06,68%,150.0,0.80,0.15,0.13,0.15,33%,12%,3/25,28,201,189,39,34,38
"grahams
SISU","breach, harbor, chamber",240,1.05,220.1,1.05,75%,135.3,0.77,0.30,0.11,0.11,35%,7%,2/27,27,184,175,73,27,26
"waddle
DSY","sova, breach, fade",206,1.05,189.0,1.03,76%,123.6,0.67,0.29,0.04,0.05,32%,15%,4/26,19,139,135,59,8,10
"romily
KRÜ.B","killjoy, viper, cypher",251,1.05,185.7,1.27,75%,123.3,0.73,0.22,0.07,0.05,31%,16%,6/37,19,182,143,54,17,12
"ZesBeeW
BME","omen, viper",406,1.05,192.1,1.05,76%,121.6,0.68,0.43,0.09,0.07,21%,11%,7/62,27,275,262,175,35,27
vit9ine,"cypher, viper, killjoy",265,1.05,200.6,1.09,74%,134.9,0.71,0.26,0.08,0.07,28%,13%,5/40,28,188,173,70,22,18
"soulcas
APK","deadlock, sova, astra",428,1.05,189.2,1.07,70%,126.8,0.68,0.35,0.06,0.07,35%,16%,9/56,22,292,274,149,25,29
